Transaction Date,Transaction Type,Product id,Sku Id,Buyer Country,Buyer Postal Code,Amount (Merchant Currency),Merchant Currency
"Jun 1, 2021",Charged,com.vansteinengroentjes.apps.ddpf,premium,US,98204,2.04,EUR
"Jun 1, 2021",Charged,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,98204,1.63,EUR
"Jun 1, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,62011,4.49,EUR
"Jun 1, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,55320,2.86,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54220,4.51,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78250,4.5,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,74830,2.86,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,IL,7548207,3.25,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,YO24 4NG,2.83,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,SE,226 48,1.72,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,74429,2.86,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.ddchat,premium,US,54741,3.68,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25123,4.5,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,25123,2.86,EUR
"Jun 2, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90803,4.5,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.whisky,com.vansteinengroentjes.apps.whisky.adverts,GB,G4 0HF,0.91,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,premium,US,85203,2.88,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98662,4.53,EUR
"Jun 3, 2021",Charged,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,15108,4.53,EUR
